Keyboard Config|键盘设置
A reinforcing unit for \nprotective gear.\nBoosts lightning \nresistance by 15 when \nequipped.|防具的扩展插件\n装备者雷抗性暂时上升１５
A reinforcing unit for \nprotective gear.\nBoosts light resistance \nby 5 when equipped.|防具的扩展插件\n装备者光抗性暂时上升５
A reinforcing unit for \nprotective gear.\nBoosts light resistance \nby 10 when equipped.|防具的扩展插件\n装备者光抗性暂时上升１０
A reinforcing unit for \nprotective gear.\nBoosts light resistance \nby 15 when equipped.|防具的扩展插件\n装备者光抗性暂时上升１５
A reinforcing unit for \nprotective gear.\nBoosts dark resistance by \n5 when equipped.|防具的扩展插件\n装备者暗抗性暂时上升５
A reinforcing unit for \nprotective gear.\nBoosts dark resistance by \n10 when equipped.|防具的扩展插件\n装备者暗抗性暂时上升１０
A reinforcing unit for \nprotective gear.\nBoosts dark resistance by \n15 when equipped.|防具的扩展插件\n装备者暗抗性暂时上升１５
A reinforcing unit that \nboosts fire, ice, \nlightning, light and dark \nresistances by 3 when \nequipped.|防具的扩展插件\n装备者炎、雷、冰、\n光、暗各抗性暂时上升３
A reinforcing unit that \nboosts fire, ice, \nlightning, light and dark \nresistances by 6 when \nequipped.|防具的扩展插件\n装备者炎、雷、冰、\n光、暗各抗性暂时上升６
A reinforcing unit that \nboosts fire, ice, \nlightning, light and dark \nresistances by 9 when \nequipped.|防具的扩展插件\n装备者炎、雷、冰、\n光、暗各抗性暂时上升９
When equipped, this unit \ndraws ether from the air, \nand converts it into \nenergy that slowly \nrecovers HP.|防具的扩展插件\nＨＰ自动回复
When equipped, this unit \ndraws ether from the air, \nand converts it into \nenergy that recovers HP.|防具的扩展插件\nＨＰ快速自动回复
When equipped, this unit \ndraws ether from the air, \nand converts it into \nenergy that rapidly \nrecovers HP.|防具的扩展插件\nＨＰ高速自动回复
When equipped, this unit \ndraws ether from the air, \nand converts it into \nenergy that slowly \nrecovers TP.|防具的扩展插件\nＴＰ自动回复
When equipped, this unit \ndraws ether from the air, \nand converts it into \nenergy that recovers TP.|防具的扩展插件\nＴＰ快速自动回复
When equipped, this unit \ndraws ether from the air, \nand converts it into \nenergy that rapidly \nrecovers TP.|防具的扩展插件\nＴＰ高速自动回复
When equipped, this unit \ndraws ether from the air, \nand slowly converts it \ninto Photon Blast (PB) \nenergy.|防具的扩展插件\nＰＢ自动上升
When equipped, this unit \ndraws ether from the air, \nand converts it into \nPhoton Blast (PB) energy.|防具的扩展插件\nＰＢ快速自动上升
When equipped, this unit \ndraws ether from the air, \nand rapidly converts it \ninto Photon Blast (PB) \nenergy.|防具的扩展插件\nＰＢ高速自动上升
A reinforcing unit for \nprotective gear.\nRaises all techniques by \n1 level when equipped.|防具的扩展插件\n装备时魔法技能等级＋１
A reinforcing unit for \nprotective gear.\nRaises all techniques by \n2 levels when equipped.|防具的扩展插件\n装备时魔法技能等级＋２
A reinforcing unit for \nprotective gear.\nRaises all techniques by \n3 levels when equipped.|防具的扩展插件\n装备时魔法技能等级＋３
A reinforcing unit for \nprotective gear.\nBoosts attack speed \nslightly when equipped.|防具的扩展插件\n装备时攻击速度稍微提升
A reinforcing unit for \nprotective gear.\nBoosts attack speed when \nequipped.|防具的扩展插件\n装备时攻击速度显著提升
A reinforcing unit for \nprotective gear.\nBoosts attack speed \nsignificantly when \nequipped.|防具的扩展插件\n装备时攻击速度大幅提升
When equipped, this \nmedical unit will \ninstantly cure Poison.|防具的扩展插件\n装备时预防中毒状态
When equipped, this \nmedical unit will \ninstantly cure Paralysis.|防具的扩展插件\n装备时预防麻痹状态
When equipped, this \nmedical unit will \ninstantly cure Slow \nMotion.|防具的扩展插件\n装备时预防减速状态
When equipped, this \nmedical unit will \ninstantly cure Confusion.|防具的扩展插件\n装备时预防混乱状态
When equipped, this \nmedical unit will \ninstantly cure the \neffects of being Frozen.|防具的扩展插件\n装备时预防冻结状态
When equipped, this \nmedical unit will \ninstantly cure the \neffects of a Short.|防具的扩展插件\n装备时预防感电状态
ATA increases by 30 if \nused with a Kusanagi.|防具的扩展插件\n和草薙一起装备的场合装备者的\n命中暂时上升３０
When equipped, this unit \nwill increase ATP, EVP, \nDFP, and LCK by 15.\nIt also increases ATA by \n1 and boosts attack speed.|防具的扩展插件\n装备者的攻击力、精神力、回避\n力、防御力、运各上升１５，命中\n上升１，攻击速度大幅增加
When equipped, this unit \nwill increase the success \nrate of special attacks.|防具的扩展插件\n使装备者的特殊攻击成功率上升
When equipped, this unit \ndecreases techinque \ncasting time.|防具的扩展插件\n装备者使用魔法技能的\n速度暂时增加
Lowers your ATP, MST, \nEVP, DFP, and LCK by 30.\nAlso lowers ATA and all \nresistances by 10.|装备者的攻击力、精神力、回避\n力、防御力、运各下降３０，命中\n率下降１０，炎、冰、雷、光、暗\n抗性各下降１０
Raises your ATP, MST, \nEVP, DFP, and LCK by 10.\nAlso increases ATA by 20, \nresistances by 6, and \ncuts TP consumption by \n25%.|装备者的攻击力、精神力、回避\n力、防御力、运各上升１０，命中\n率上升２０，炎、冰、雷、光、暗\n耐性各增加６，使用技能的ＴＰ\n消费量减少２５％
Raises ATA by 10 when \nequipped with a saber, \nsword, or twin sword.|当装备单手剑、大剑或双剑时，\n提升10点命中（ATA）。
Raises ATA by 30, EVP by \n60, lowers DFP by 20 when \nequipped with a saber, \nsword, or twin sword.|防具的扩展插件\n和特定的刀、剑、双剑装备时\n装备者命中增加３０\n回避力增加６０\n防御力下降２０
Raises ATA for Hunters \nand Forces using ranged \nattacks.|防具的扩展插件\n装备时ＦＯ和ＨＵ的远距离\n攻击命中力上升
Double's the wearer's \nLCK, and increases \nresistance to dark and \nlight by 20.|防具的扩展插件\n装备中一半时间运为２倍状态\n光抗性和暗抗性各增加２０
Greatly increases the \nuser's attack speed.|防具的扩展插件\n装备中攻击速度拥有惊人的提高
A reinforcing unit for \nprotective gear.\nBoosts ATP by 55 when \nequipped.|防具的扩展插件\n装备者的攻击力暂时上升５５
A reinforcing unit for \nprotective gear.\nBoosts MST by 45 when \nequipped.|防具的扩展插件\n装备者的精神力暂时上升４５
A reinforcing unit for \nprotective gear.\nBoosts ATA by 25 when \nequipped.|防具的扩展插件\n装备者的命中率暂时上升２５
A reinforcing unit for \nprotective gear.\nBoosts EVP by 55 when \nequipped.|防具的扩展插件\n装备者的回避力暂时上升５５
A reinforcing unit for \nprotective gear.\nBoosts DFP by 55 when \nequipped.|防具的扩展插件\n装备者的防御力暂时上升５５
A reinforcing unit for \nprotective gear.\nBoosts LCK by 40 when \nequipped.|防具的扩展插件\n装备者的运暂时上升４０
When equipped, this unit \nwill increase ATP, MST, \nEVP, DFP, and LCK by 25.\nAlso increases ATA by 2.|防具的扩展插件\n装备者的攻击力、精神力、回避\n力、防御力、运各上升２５，命中\n上升２
When equipped, this unit \nwill increase ATP, MST, \nEVP, DFP, and LCK by 30.\nAlso increases ATA by 2.|防具的扩展插件\n装备者的攻击力、精神力、回避\n力、防御力、运各上升３０，命中\n上升３
Special unit for \nprotective armor.\nIts boosts certain \nabilites by how many \nteammates and guild cards \nyou have.|防具的扩展插件\n它会根据你的队友数量以及拥有的\n名片数量，来提升特定的能力。
A reinforcing unit for \nprotective gear.\nBoosts max HP by 100 when \nequipped.|防具的扩展插件\n装备时最大ＨＰ暂时上升１００
A reinforcing unit for \nprotective gear.\nBoosts max TP by 100 when \nequipped.|防具的扩展插件\n装备时最大ＴＰ暂时上升１００
A reinforcing unit that \nboosts fire, ice, \nlightning, light and dark \nresistances by 12 when \nequipped.|防具的扩展插件\n装备者炎、雷、冰、\n光、暗各抗性暂时上升１２
A reinforcing unit for \nprotective gear.\nRaises all techniques by \n4 levels when equipped.|防具的扩展插件\n装备时魔法技能等级＋４
The ultimate battle unit\nfit for a massacre. Severely \nincreases attack speed.|专为杀戮而设计的终极战斗插件。\n极大提升攻击速度。
A reinforcing unit for \nprotective gear.\nBoosts ATP by 75 when \nequipped.|防具强化插件。\n装备后提升75点攻击力。
A reinforcing unit for \nprotective gear.\nBoosts ATA by 35 when \nequipped.|防具强化插件。\n装备后提升35点命中。
A reinforcing unit for \nprotective gear.\nBoosts MST by 75 when \nequipped.|防具强化插件。\n装备后提升75点精神力。
Lightweight armor that \nboosts reflexes. Capable of \ndeflecting all but the most \npowerful of attacks.|提升反应能力的轻型铠甲。\n能够偏转除了最强攻击以外的所有伤害。
Extremely durable defensive\ngear. Invaluable for most \ncombat situations.|极度耐用的防御装备。\n在大多数战斗环境下都极具价值。
When equipped, this medical unit\nwill cure any condition.|装备后，将免疫任何异常状态。
When equipped, makes all traps visible.|装备后，使所有陷阱可见。
When equipped, this unit \nsignificantly decreases \ntechinque casting time.|装备后，该插件将显著缩短法术释放时间。
For testing purpose only. \nRaises all stats to max|仅供测试使用。\n将所有属性提升至最大值。
For testing purpose only. \nRaises HP by 3000|仅供测试使用。\n提升3000点HP。
For testing purpose only. \nRaises HP by 4000|仅供测试使用。\n提升4000点HP。
A reinforcing unit for \nprotective gear.\nBoosts EVP by 75 when \nequipped.|防具的扩展插件\n装备者的回避力暂时上升７５
A reinforcing unit for \nprotective gear.\nBoosts DFP by 75 when \nequipped.|防具的扩展插件\n装备者的防御力暂时上升７５
A reinforcing unit for \nprotective gear.\nBoosts max HP by 125 when \nequipped.|防具的扩展插件\n装备者最大ＨＰ暂时上升１２５
A reinforcing unit for \nprotective gear.\nBoosts LCK by 60 when \nequipped.|防具的扩展插件\n装备者的运暂时上升６０
A reinforcing unit for \nprotective gear.\nBoosts ATP by 125 when \nequipped.|防具的扩展插件\n装备者的攻击力暂时上升１２５
A reinforcing unit for \nprotective gear.\nBoosts ATA by 50 when \nequipped.|防具的扩展插件\n装备者的命中率暂时上升５０
A reinforcing unit for \nprotective gear.\nBoosts MST by 125 when \nequipped.|防具的扩展插件\n装备者的精神力暂时上升１２５
A reinforcing unit for \nprotective gear.\nBoosts EVP by 125 when \nequipped.|防具的扩展插件\n装备者的回避力暂时上升１２５
A reinforcing unit for \nprotective gear.\nBoosts DFP by 125 when \nequipped.|防具的扩展插件\n装备者的防御力暂时上升１２５
A reinforcing unit for \nprotective gear.\nBoosts max HP by 200 when \nequipped.|防具的扩展插件\n装备者最大ＨＰ暂时上升２００
A reinforcing unit for \nprotective gear.\nBoosts LCK by 90 when \nequipped.|防具的扩展插件\n装备者的运暂时上升９０
Significantly increases the \nuser's attack speed.|显著提升使用者的攻击速度。
This ultimate unit draws \npower from other dimensions, \nand rapidly converts it \ninto Photon Blast (PB) \nenergy.|这种究极插件能从异次元汲取能量，\n并迅速将其转化为光子爆发（PB）能量。
This ultimate unit draws \npower from other dimensions, \nand converts it into \nenergy that rapidly \nrecovers HP.|这种究极插件能从异次元汲取能量，\n并将其转化为迅速恢复HP的能量。
This ultimate unit draws \npower from other dimensions, \nand converts it into \nenergy that rapidly \nrecovers TP.|这种究极插件能从异次元汲取能量，\n并将其转化为迅速恢复TP的能量。
When equipped, this unit \nwill increase ATP, MST, \nEVP, DFP, and LCK by 40.\nAlso increases ATA by 4.|防具的扩展插件\n装备者的攻击力、精神力、回避\n力、防御力、运各上升４０，命中\n上升４
An extremely powerful shield\nthat boosts accuracy.|极大提升命中率的超强盾牌。
An extremely powerful shield\nthat boosts attack power.|极大提升攻击力的超强盾牌。
A field of energy that protects\nyou from attacks. It's energy is\npowerful, and provides you with \nadditional strength in battle.|一个保护你免受攻击的能量场。\n它的能量非常强大，并在战斗中\n为你提供额外的力量。
A legendary shield that contains\ngreat power.|蕴含巨大力量的传说之盾。
Special defensive parts \nthat can be equipped only \nby Androids. This version\nis a prototype and is much\nmore powerful.|仅限机器人装备的特殊防御零件。\n此版本为原型机，威力要强大得多。
Mighty battle armor that\nprovides the wearer with\nan all round boost.|强大的战斗铠甲，\n为穿戴者提供全方位的属性提升。
Wealthy business jacket\nenriched with Silver\nthreading.|带有银色缝线的\n华丽西装外套。
Powerful demonic armor \nthat boosts dark resistance.|提升暗属性抗性的强大恶魔铠甲。
A black ninja suit.\nBoosts attack power.|一套黑色忍者服。\n提升攻击力。
Legendary battle armor\nthat excels in close combat.|在近身战斗中表现卓越的传说战斗铠甲。
A powerful ring that boosts\ndark and fire resistance.|一枚提升暗属性与火属性抗性的强大手镯。
A dark shield made from \nlava. It's clear this shield \nstood the tests of battle.|一面由熔岩制成的黑暗之盾。\n显然这面盾牌经受住了战斗的考验。
There's a hole for your head.|这里有个洞是给你头钻的。
Ho ho ho, merry christmas!|吼、吼、吼，圣诞快乐！
Hellish armor with a protective aura.|带有防御光环的地狱铠甲。
Armor enhanced with a\nD-Factor virus. The virus \nempowers your abilities, \nincreasing attack speed \nand defensive power.|由D因子强化的铠甲。\n病毒会增强你的能力，\n提升攻击速度与防御力。
A protective ring of fire. \nThe fire instantly melts any \nfreeze effects.|防护性环状烈焰领域。\n火焰会瞬间融化任何冰冻效果。
The smoke exposes hidden \ntraps. Also increases \nATA by 20.|烟雾会使隐藏的陷阱显形。\n同时提升20点ATA。
This unit increases the \nsuccess rate of special\nattacks. In addition, raises \nATA for Hunters and Forces \nusing ranged attacks.|该插件可以提升特殊攻击的\n成功率。此外，还可以提升\nＦＯ和ＨＵ使用远程攻击时的命中。
\tCGWhen equipped, this unit \nsignificantly decreases \ntechinque casting time.\nIn addition, increases the\nsuccess rate of freezing\nRabarta and Gibarta.|\tCG装备后，该插件将显著缩短\n法术吟唱时间。此外，还能提升\n极冰和冰箭法术的冰冻成功率。
A strange device built \nby outlaws. It's said it\nempowers certain \nweapons...|由不法分子制造的奇怪装置。\n据说它能强化特定的武器……
\tCGAn unknown artifact\nit's said to be used\nin the past.\nIt enhances bond\nstrength of certain\nweapons.|\tCG失落文明的远古遗珍，\n据传曾为先民之物。\n其蕴含的力量可强化特定\n武器间的共鸣契合度
A pair of dank sunglasses.|一副超酷的墨镜。
A pair of mysterious wings. \nIts strange powers boost \ncertain techniques.|一对神秘的翅膀。\n其奇特的力量能强化特定的法术。
A set of holy wings that \nboost support \ntechniques.|一套强化支援法术的\n神圣之翼。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nViridia version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n铬绿版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nGreenill version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n翠绿版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nSkyly version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n天青版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nBluefull version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n纯蓝版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nPurplenum version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n淡紫版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nPinkal version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n粉红版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nRedria version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n真红版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nOran version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n橙黄版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nYellowboze version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n金黄版本。
Special wings obtained during \nDestiny PSOBB 2nd anniversary. \nWhitill version.|在 Destiny PSOBB 二周年期间获得的\n特殊翅膀。\n羽白版本。
A pair of demonic wings that \nboost support techniques\nand attack power.|一对提升支援法术和\n攻击力的恶魔之翼。
\tC6An ultimate shield flowing with \nlava. It enhances defensive \ncapabilities.|\tC6一面流淌着熔岩的究极之盾。\n它能增强防御效能。
\tC6Light makes darkness, a pair \nexists. But it doesn't always exist. \nReincarnation goes forever. The \nrule is here. It should be sealed.|\tC6光明孕育黑暗，成对存在。\n但它并非永恒。轮回不息。\n法则在此。应当被封印。
Mysterious ghost armor that \ngrants near invisibility when \nnot attacking.|神秘的幽灵铠甲，\n在不发动攻击时几乎处于隐形状态。
This legendary piece of \nequipment gives the wielder \na set of extraordinary abilities. \nOnly usable by forces.|这件传说级的装备赋予持有者\n一系列卓越的能力。仅限ＦＯ使用。
\tC6Legendary battle armor\nthat excels in close combat.|\tC6在近身战斗中表现卓越的\n传说战斗铠甲。
This strange artifact is embedded \nwith ancient magic. A proficient\ncaster can harness this magic to \nempower offensive techniques \nand magic resistance.|这件奇特的人造物品中嵌入了远古魔法。\n熟练的施法者可以利用这种魔法来\n强化攻击法术并提升魔法抗性。
A pair of cursed wings that \nboost support techniques\nand attack power.|一对提升支援法术和\n攻击力的诅咒之翼。
A set of lovely wings that \nboost support \ntechniques.|一套强化支援法术的\n可爱翅膀。
Astral wings from another \ndimension. These wings grant\nimmunity to any disease, and\ngives you the ability to detect\ntraps.|来自异次元的星界之翼。\n这对翅膀能免疫任何异常，并\n赋予你探测陷阱的能力。
A divine frame forged by \nmasters of the past.\nIncreases the power of \nsupport techniques.|由上古大师锻造的神圣铠甲。\n提升支援法术的威力。
Special armor obtained during \nDestiny PSOBB 5th anniversary. |在 Destiny PSOBB 五周年期间\n获得的特殊铠甲。
\tCGA special armor that protects\nwielder with a mysterious aura.\nIncreaces all stats by 30.|\tCG一件以神秘光环保护持有者的特殊铠甲。\n提升所有属性30点。
\tCGAn armor that hosts\ncatastrophic virus.\nThe ravenous soul \nstill remains and\ncould inflict to \nwielder significantly.|\tCG一件寄宿着灾难性病毒的铠甲。\n贪婪的灵魂依然残留，\n可能会对持有者造成显著伤害。
A chromatic halo that boosts \nsupport techniques and \naccuracy.|一个提升支援法术和\n命中率的彩虹光环。
\tC6An astral halo from another \ndimension. This halo grants\nimmunity to any disease, and\ngives you the ability to detect\ntraps.|\tC6来自异次元的星界光环。\n这个光环能免疫任何异常，并\n赋予你探测陷阱的能力。
\tCGA golden halo that boosts \nsupport techniques and HP.|\tCG一个提升支援法术和ＨＰ的黄金光环。
\tCGA Divine armor that\nsignificantly boosts \npower of Si, Gi techs\nand Rabarta.|\tCG一件显著提升火墙、炎狱\n以及极冰法术威力的神圣铠甲。
\tCGplaceholder armor desc\nforced particle|\tCG占位铠甲描述\n强制粒子
placeholder armor desc\nforced particle|占位铠甲描述\n强制粒子
A mysterious armor\nthat protects wielder\nwith a mighty blast.\nBoosts player's HP.|以强力爆炸来保护使用者的\n神秘铠甲。提升玩家HP。
\tCGA sanctified defense module\nderived from the Administrator's\ncore systems.\nIt deploys a radiant field that\nrecalibrates itself to shield its\nnew master.|\tCG一件源自管理员核心系统的\n神圣防御模块。它部署了一个\n辐射力场，会重新校准以保护新主人。
Radiant Armor|光辉铠甲
placeholder armor desc|占位铠甲描述
\tCGA darkness halo that boosts \nGrants, Megid and Zonde. \nIn addition boosts ATP by 80.|\tCG一个提升圣光、死咒以及\n闪电法术的黑暗光环。此外提升80点ATP。
A divine shield that boosts\npower of Gi techniques.|一面提升中级法术威力的神圣之盾。
Shield enhanced with a\nD-Factor virus. The virus \nempowers your abilities, \nincreasing all stats by 20\nand defensive power.|由Ｄ因子强化的盾牌。\n因子会增强你的能力，提升\n所有属性20点和极高防御力。
\tCGA pair of crystal wings\nthat contains mighty power.\nIt enhances power of Barta.\nIn addition expands range of\nResta and Zalure. |\tCG一对蕴含强大力量的水晶之翼。\n它能强化冻气术。此外\n扩大圣泉与降防术的范围。
\tCGA pair of phoenix wings\nthat contains mighty power.\nIt enhances Foie, Rafoie and\nrange of Reverser.|\tCG一对蕴含强大力量的凤凰之翼。\n它能强化火球、炎狱术以及\n回魂术的范围。
\tCGplaceholder shield desc\nIMMORTAL WINGS|\tCG占位盾牌描述\n不朽之翼
A relic of forgotten royalty.\nIts radiance empowers\nLast Emperor's full potential.|一件被遗忘的皇室遗物。\n它的光芒能激发最后的统治者全部潜力。
placeholder shield Antiheal desc|占位盾牌反治疗描述
A legendary scope\nmade by Vise Corp.\nIts said to enhance\nYasminkov series.|由 Vise 工业铸就的传奇之眼。\n据说是用来强化雅斯米诺科夫系列。
A legendary scope\nmade by Justice Corp.\nIts said to enhance\nNeedle type weapons.|由 Justice 工业铸就的传奇之眼。\n据说是用来强化弹弓系武器。
\tCGA reinforcing unit for \nprotective gear.\nBoosts max HP by 275\nwhen  equipped.|\tCG防具的扩展插件\n装备者最大ＨＰ暂时上升２７５
\tCGA destructive device\nbuilt by Dr. Robotonik.\nIt's said it empowers\ncertain flame weapons...|\tCG由蛋头博士建造的破坏装置。\n据说它能强化特定的火焰武器……
An unknown device\nfound in meteor impact site.\nIt's said it empowers\ncertain weapons...|在陨石撞击现场发现的未知装置。\n据说它能强化特定的武器……
A legendary scope\nmade by Combat Corp.\nIts said to enhance\ncertain weapons.|由 Combat 工业铸就的传奇之眼。\n据说是用来强化特定的武器。
\tCGAn ancient grimoire containing\noutlawed spells.\nGrants enhanced potency to\ncertain Force class gear\nwhen equipped.|\tCG一本包含禁忌咒语的远古魔导书。\n装备后可增强特定ＦＯ类装备的ＥＸ攻击。
placeholder unit desc|占位插件
Hildelt|雷暴巨猿
Hildetorr|暗黑巨猿
Mothvert|嗜血巨蚊
Mothvist|嗜血巨蚊巢
El Rappy|白拉比鸟
Pal Rappy|彩虹拉比鸟
Gulgus|角狼
Gulgus-gue|角狼王
Bartle|紫魔龟
Barble|蓝魔龟
Tollaw|魔螳螂
Crimson Assassin|嗜血巨螳螂
Ob Lily|变种铃兰
Mil Lily|异种铃兰
Vulmer|紫鲨熊
Govulmer|蓝鲨熊
Melqueek|变种鲨熊
Dubchich|傀儡机将
Baranz|机甲堡垒·改
Sinow Blue|紫机忍
Sinow Red|红机忍
Canabin|强化电爪
Canune|强化核心电爪
Gran Sorcerer|毁灭法师
Gee R|暗之水晶
Gee L|圣之水晶
Dark Bringer|暗黑骑士
Indi Belra|远古巨神像
Arlan|异魔兵
Merlan|异魔将
Del-D|异魔王
Sil Dragon|冰霜巨龙
Dal Ra Lie|达尔·拉·利
Vol Opt ver.2|波鲁欧普·改
Duvuik|傀儡操纵器
Gillchich|浮游机将
Foie |火球术
Gifoie |火墙术
Rafoie |炎狱术
Barta |冻气术
Gibarta |冰箭术
Rabarta |极冰术
Zonde |闪电术
Gizonde |群雷术
Razonde |雷爆术
Grants |圣光术
Deband |强体术
Jellen |降攻术
Zalure |降防术
Shifta |强攻术
Ryuker |瞬移术
Resta |圣泉术
Anti |状态术
Reverser |回魂术
Megid |死咒术
\n\nA fire technique.\nBall of fire burns a \nsingle enemy.|\n\n初级火属性魔法\n施放火球\n攻击单体敌人
\n\nA fire technique.\nRing of fire burns any \nnearby enemies.|\n\n中级火属性魔法\n以自己为中心形成火墙\n攻击周围的敌人
\n\nA fire technique.\nLarge fiery explosion \nburns all nearby enemies.|\n\n上级火属性魔法\n引发大爆炸\n攻击全体敌人
\n\nAn ice technique.\nA penetrating linear ice \nattack.|\n\n初级冰属性魔法\n施放直线型冷气\n攻击复数敌人
\n\nAn ice technique.\nFreezes enemies with ice \nprojectiles.|\n\n中级冰属性魔法\n施放无数的冰箭\n攻击复数敌人
\n\nAn ice technique.\nLaunches arrows of ice to \nfreeze nearby enemies.|\n\n上级冰属性魔法\n向周围施放无数的冰箭\n攻击周围的敌人
\n\nA lightning technique.\nStrikes a single enemy \nfrom above.|\n\n初级雷属性魔法\n落下闪电\n攻击单体敌人
\n\nA lightning technique.\nStrikes enemies in a \nchain reaction.|\n\n中级雷属性魔法\n施放闪电\n攻击周围的敌人
\n\nA lightning technique.\nStrikes all surrounding \nenemies.|\n\n上级雷属性魔法\n向周围施放无数的闪电\n攻击全体敌人
\n\nA light technique.\nStrikes 1 enemy with \ncountless arrows of light.|\n\n光属性魔法\n施放无数的光箭\n攻击单体敌人
\n\nA defensive boost\ntechnique.\nHelps teammates as well, \nat higher levels.|\n\n辅助系魔法\n使自己的防御力暂时提升等级高时\n也会对周围同伴产生效果
\n\nAttack-weakening\ntechnique.\nCan affect enemies near \nthe target.|\n\n辅助系魔法\n使周围敌人的攻击力暂时下降
\n\nDefense-weakening\ntechnique.\nCan affect enemies near \nthe target.|\n\n辅助系魔法\n使周围敌人的防御力暂时下降
\n\nAttack-enhancing\ntechnique.\nAlso helps teammates at \nhigher levels.|\n\n辅助系魔法\n使自己的攻击力暂时提升等级高时\n也会对周围同伴产生效果
\n\nOpens a teleport gate\nto the city until the \ncreator returns through \nit.|\n\n辅助系魔法\n开启一道通向“先驱\n者２号”的传送门
\n\nHP restoration\ntechnique.\nHelps nearby teammates at \nhigher levels.|\n\n恢复系魔法\n使用圣泉回复ＨＰ等级高时\n也会对周围同伴产生效果
\n\nStatus restoration\ntechnique.\nHelps nearby teammates at \nhigher levels.|\n\n恢复系魔法\n治疗异常状态等级高时\n也会对周围同伴产生效果
\n\nA revival technique.\nRevives 1 fallen teammate \nback to life.|\n\n恢复系魔法\n使附近一名倒下的同伴复活
\n\nA dark technique.\nStrikes an enemy with a \nCurse of Death.|\n\n暗属性魔法\n施放死亡的诅咒\n被击中立刻失去生命
Level:|ＬＶ
\n\nA basic fire\ntechnique.\nAttacks 1 enemy with\na fireball.|\n\n初级火属性魔法\n施放火球\n攻击单体敌人
\n\nAn intermediate fire\ntechnique.\nCreates a ring of\nfire.|\n\n中级火属性魔法\n以自己为中心形成火墙\n攻击周围的敌人
\n\nAn advanced fire\ntechnique.\nAn explosive area\nattack.|\n\n上级火属性魔法\n引发大爆炸\n攻击全体敌人
\n\nA basic ice\ntechnique.\nA penetrating, linear\nattack.|\n\n初级冰属性魔法\n施放直线型冷气\n攻击复数敌人
\n\nAn intermediate ice\ntechnique.\nA frontal, wide\nspread attack.|\n\n中级冰属性魔法\n施放无数的冰箭\n攻击复数敌人
\n\nAn advanced ice\ntechnique.\nHits all nearby\nenemies.|\n\n上级冰属性魔法\n向周围施放无数的冰箭\n攻击周围的敌人
\n\nA basic lightning\ntechnique.\nHits 1 enemy.|\n\n初级雷属性魔法\n落下闪电\n攻击单体敌人
\n\nAn intermediate\nlightning technique.\nHits in series.|\n\n中级雷属性魔法\n施放闪电\n攻击周围的敌人
\n\nAn advanced\nlightning technique.\nHits nearby enemies.|\n\n上级雷属性魔法\n向周围施放无数的闪电\n攻击全体敌人
\n\nA light technique.\nAttacks 1 enemy with\nlight rays.|\n\n光属性魔法\n施放无数的光箭\n攻击单体敌人
\n\nA technique that\nboosts teammates'\ndefenses.|\n\n辅助系魔法\n使自己的防御力暂时提升等级高时\n也会对周围同伴产生效果
\n\nA technique that\nweakens enemy\nattacks.|\n\n辅助系魔法\n使周围敌人的攻击力暂时下降
\n\nA technique that\nlowers enemy\ndefenses.|\n\n辅助系魔法\n使周围敌人的防御力暂时下降
\n\nA technique that\nboosts teammates'\nattack power.|\n\n辅助系魔法\n使自己的攻击力暂时提升等级高时\n也会对周围同伴产生效果
\n\nA technique that\ncreates a gate to\nthe city.|\n\n辅助系魔法\n开启一道通向“先驱\n者２号”的传送门
\n\nA technique that\nrestores HP.|\n\n恢复系魔法\n使用圣泉回复ＨＰ等级高时\n也会对周围同伴产生效果
\n\nA technique that\ncures adverse\neffects.|\n\n恢复系魔法\n治疗异常状态等级高时\n也会对周围同伴产生效果
\n\nA revival technique.\nRevives 1 ally.|\n\n恢复系魔法\n使附近一名倒下的同伴复活
\n\nA dark technique.\nStrikes 1 enemy down.|\n\n暗属性魔法\n施放死亡的诅咒\n被击中立刻失去生命
Attack\n\nA standard attack.\nHas high accuracy,\nbut low damage.|普通攻击\n\n命中率比较高\n但造成的伤害比较低
Heavy Attack\n\nA stronger attack,\nbut with lower\naccuracy.|强力攻击\n\n命中率比较低\n但造成的伤害比较高
